/home/utkarsh/opensim-rl/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
==============SETTINGS================
{'cuda': False,
 'curriculum_threshold': 0.85,
 'env_name': 'mocca_envs:Walker3DStepperEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_02_01__16_14_25__experiment1/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'load_saved_controller': False,
 'log_dir': 'runs/2021_02_01__16_14_25__experiment1/logs',
 'log_interval': 1,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'num_ensembles': 1,
 'num_frames': 200000000.0,
 'num_mini_batch': 39,
 'num_processes': 56,
 'num_steps': 714,
 'num_tests': 4,
 'plot_prob': False,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'robot_power_decay_type': 'exponential',
 'sampling_scale': 150,
 'save_dir': 'runs/2021_02_01__16_14_25__experiment1/models',
 'save_every': 10000000.0,
 'save_sampling_prob': False,
 'seed': 8,
 'use_adaptive_sampling': False,
 'use_curriculum': False,
 'use_gae': True,
 'use_mirror': False,
 'use_phase_mirror': False,
 'use_specialist': False,
 'use_threshold_sampling': False}
--------------------------------------
/home/utkarsh/opensim-rl/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 39984, FPS 358, mean/median reward -620.8/-230.0, min/max reward -11426.9/162.7, test_mean/median reward -266.6/-266.6, test_min/max reward -266.6/-266.6, entropy -1.75729, value loss 17963.99624, policy loss -0.00289
Updates 2, num timesteps 79968, FPS 357, mean/median reward -607.9/-236.3, min/max reward -9945.3/601.1, test_mean/median reward -268.5/-268.5, test_min/max reward -268.5/-268.5, entropy -1.75876, value loss 23338.37292, policy loss -0.00118
Updates 3, num timesteps 119952, FPS 356, mean/median reward -619.4/-208.2, min/max reward -9797.0/-85.3, test_mean/median reward -409.3/-409.3, test_min/max reward -409.3/-409.3, entropy -1.76152, value loss 19532.22765, policy loss -0.00470
Updates 4, num timesteps 159936, FPS 355, mean/median reward -298.0/-249.0, min/max reward -3063.3/-59.2, test_mean/median reward -347.7/-347.7, test_min/max reward -347.7/-347.7, entropy -1.76542, value loss 17660.06324, policy loss -0.00407
Updates 5, num timesteps 199920, FPS 354, mean/median reward -513.1/-235.6, min/max reward -11028.8/-114.2, test_mean/median reward -295.8/-295.8, test_min/max reward -295.8/-295.8, entropy -1.76946, value loss 18540.96748, policy loss -0.00045
Updates 6, num timesteps 239904, FPS 353, mean/median reward -608.4/-210.0, min/max reward -11142.0/65.2, test_mean/median reward -266.9/-266.9, test_min/max reward -266.9/-266.9, entropy -1.76970, value loss 25544.80350, policy loss 0.00071
Updates 7, num timesteps 279888, FPS 353, mean/median reward -733.0/-222.6, min/max reward -8985.1/496.6, test_mean/median reward -297.0/-297.0, test_min/max reward -297.0/-297.0, entropy -1.77465, value loss 28218.80443, policy loss -0.00138
Updates 8, num timesteps 319872, FPS 351, mean/median reward -521.3/-197.2, min/max reward -8074.1/-41.8, test_mean/median reward -198.4/-198.4, test_min/max reward -198.4/-198.4, entropy -1.77886, value loss 27263.27275, policy loss 0.00080
Updates 9, num timesteps 359856, FPS 350, mean/median reward -305.8/-217.1, min/max reward -3261.6/83.1, test_mean/median reward -232.0/-232.0, test_min/max reward -232.0/-232.0, entropy -1.78157, value loss 27438.61416, policy loss 0.00342
Updates 10, num timesteps 399840, FPS 350, mean/median reward -294.5/-238.1, min/max reward -1674.7/-106.9, test_mean/median reward -405.9/-405.9, test_min/max reward -405.9/-405.9, entropy -1.78350, value loss 19001.51172, policy loss -0.00404
Updates 11, num timesteps 439824, FPS 350, mean/median reward -365.0/-221.4, min/max reward -6804.1/-22.0, test_mean/median reward -210.0/-210.0, test_min/max reward -210.0/-210.0, entropy -1.79451, value loss 13939.16933, policy loss 0.00002
