/home/utkarsh/opensim-rl/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
==============SETTINGS================
{'cuda': False,
 'curriculum_threshold': 0.85,
 'env_name': 'mocca_envs:Walker3DStepperEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_02_01__00_55_02__experiment1/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'load_saved_controller': False,
 'log_dir': 'runs/2021_02_01__00_55_02__experiment1/logs',
 'log_interval': 1,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'num_ensembles': 1,
 'num_frames': 200000000.0,
 'num_mini_batch': 39,
 'num_processes': 56,
 'num_steps': 714,
 'num_tests': 4,
 'plot_prob': False,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'robot_power_decay_type': 'exponential',
 'sampling_scale': 150,
 'save_dir': 'runs/2021_02_01__00_55_02__experiment1/models',
 'save_every': 10000000.0,
 'save_sampling_prob': False,
 'seed': 8,
 'use_adaptive_sampling': False,
 'use_curriculum': False,
 'use_gae': True,
 'use_mirror': False,
 'use_phase_mirror': False,
 'use_specialist': False,
 'use_threshold_sampling': False}
--------------------------------------
/home/utkarsh/opensim-rl/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 39984, FPS 541, mean/median reward 12.5/10.5, min/max reward -13.6/38.7, test_mean/median reward 25.4/25.4, test_min/max reward 25.4/25.4, entropy -1.80764, value loss 10.51700, policy loss -0.01014
Updates 2, num timesteps 79968, FPS 540, mean/median reward 15.6/15.3, min/max reward -10.2/43.8, test_mean/median reward 27.0/27.0, test_min/max reward 27.0/27.0, entropy -1.89049, value loss 11.17155, policy loss -0.02068
Updates 3, num timesteps 119952, FPS 541, mean/median reward 19.1/16.6, min/max reward -7.8/43.9, test_mean/median reward 35.4/35.4, test_min/max reward 35.4/35.4, entropy -2.00109, value loss 14.08788, policy loss -0.02131
Updates 4, num timesteps 159936, FPS 543, mean/median reward 14.6/19.9, min/max reward -399.0/53.6, test_mean/median reward 49.1/49.1, test_min/max reward 49.1/49.1, entropy -2.09772, value loss 35.83989, policy loss -0.01369
Updates 5, num timesteps 199920, FPS 541, mean/median reward 22.5/19.9, min/max reward 1.9/52.0, test_mean/median reward 39.3/39.3, test_min/max reward 39.3/39.3, entropy -2.23317, value loss 13.67806, policy loss -0.02243
Updates 6, num timesteps 239904, FPS 540, mean/median reward 30.9/31.8, min/max reward -16.2/59.9, test_mean/median reward 41.3/41.3, test_min/max reward 41.3/41.3, entropy -2.32537, value loss 14.93159, policy loss -0.02076
Updates 7, num timesteps 279888, FPS 541, mean/median reward 39.9/40.3, min/max reward 11.7/108.3, test_mean/median reward 40.2/40.2, test_min/max reward 40.2/40.2, entropy -2.42899, value loss 14.18212, policy loss -0.01705
Updates 8, num timesteps 319872, FPS 541, mean/median reward 40.4/41.6, min/max reward 20.4/71.0, test_mean/median reward 52.5/52.5, test_min/max reward 52.5/52.5, entropy -2.53226, value loss 10.82437, policy loss -0.01951
Updates 9, num timesteps 359856, FPS 541, mean/median reward 42.0/42.2, min/max reward 21.7/60.2, test_mean/median reward 54.2/54.2, test_min/max reward 54.2/54.2, entropy -2.63225, value loss 10.42065, policy loss -0.01958
Updates 10, num timesteps 399840, FPS 541, mean/median reward 46.1/48.5, min/max reward -6.1/71.6, test_mean/median reward 61.5/61.5, test_min/max reward 61.5/61.5, entropy -2.73458, value loss 10.08788, policy loss -0.02452
Updates 11, num timesteps 439824, FPS 542, mean/median reward 49.8/51.7, min/max reward 24.8/68.7, test_mean/median reward 61.5/61.5, test_min/max reward 61.5/61.5, entropy -2.83193, value loss 8.27581, policy loss -0.02268
Updates 12, num timesteps 479808, FPS 542, mean/median reward 51.7/53.2, min/max reward 31.3/73.9, test_mean/median reward 67.0/67.0, test_min/max reward 67.0/67.0, entropy -2.94099, value loss 8.29416, policy loss -0.02250
